1,226,3,B,0,0,0,0,0
1,231,3,E,1,0,0,0,0
1,233,4,B,1,0,0,0,0
1,238,4,E,0,0,0,0,0
1,263,2,B,0,0,0,0,0
1,268,2,E,2,0,0,0,0
1,270,3,B,2,0,0,0,0
1,275,3,E,0,0,0,0,0
1,282,1,B,0,0,0,0,0
1,287,1,E,3,0,0,0,0
1,301,8,B,3,0,0,0,0
1,306,8,E,0,0,0,0,0
1,466,5,B,0,0,0,0,0
1,471,5,E,4,0,0,0,0
1,475,3,B,4,0,0,0,0
1,480,3,E,0,0,0,0,0
1,499,10,B,0,0,0,0,0
1,504,10,E,5,0,0,0,0
1,512,6,B,5,0,0,0,0
1,517,6,E,0,0,0,0,0
1,544,7,B,0,0,0,0,0
1,549,7,E,6,0,0,0,0
1,561,1,B,6,0,0,0,0
1,566,1,E,0,0,0,0,0
1,593,1,B,0,0,0,0,0
1,598,1,E,7,0,0,0,0
1,616,10,B,7,0,0,0,0
1,621,10,E,0,0,0,0,0
1,663,10,B,0,0,0,0,0
1,668,10,E,8,0,0,0,0
1,684,2,B,8,0,0,0,0
1,689,2,E,0,0,0,0,0
1,691,3,B,0,0,0,0,0
1,696,3,E,9,0,0,0,0
1,700,5,B,9,0,0,0,0
1,705,5,E,0,0,0,0,0
1,803,4,B,0,0,0,0,0
1,808,4,E,10,0,0,0,0
1,818,9,B,10,0,0,0,0
